Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-08 00:00:00-04:00,8.149999618530273,8.75,8.125,8.199999809265137,11404,0.0,0.0
2023-05-15 00:00:00-04:00,8.149999618530273,10.5,8.0,8.274999618530273,40884,0.0,0.0
2023-05-22 00:00:00-04:00,8.524999618530273,10.5,8.0,10.0,38148,0.0,0.0
2023-05-29 00:00:00-04:00,10.0,11.125,9.25,10.024999618530273,27276,0.0,0.0
2023-06-05 00:00:00-04:00,10.25,11.949999809265137,10.0,10.550000190734863,29172,0.0,0.0
2023-06-12 00:00:00-04:00,11.125,14.0,10.5,12.5,66996,0.0,0.0
2023-06-19 00:00:00-04:00,13.399999618530273,13.824999809265137,12.0,12.100000381469727,34472,0.0,0.0
2023-06-26 00:00:00-04:00,12.75,12.75,12.0,12.75,16660,0.0,0.0
2023-07-03 00:00:00-04:00,12.199999809265137,13.574999809265137,12.199999809265137,12.875,10828,0.0,0.0
2023-07-10 00:00:00-04:00,12.875,13.5,7.275000095367432,7.925000190734863,106660,0.0,0.0
2023-07-17 00:00:00-04:00,8.675000190734863,9.5,5.75,7.25,170836,0.0,0.0
2023-07-24 00:00:00-04:00,7.849999904632568,8.0,7.025000095367432,7.025000095367432,31020,0.0,0.0
2023-07-31 00:00:00-04:00,7.5,7.650000095367432,6.875,7.349999904632568,31960,0.0,0.0
2023-08-07 00:00:00-04:00,7.025000095367432,14.024999618530273,6.25,8.75,3304940,0.0,0.0
2023-08-14 00:00:00-04:00,8.649999618530273,9.399999618530273,7.525000095367432,7.824999809265137,91292,0.0,0.0
2023-08-21 00:00:00-04:00,7.525000095367432,7.824999809265137,6.25,6.650000095367432,54236,0.0,0.0
2023-08-28 00:00:00-04:00,6.775000095367432,6.775000095367432,6.0,6.400000095367432,29904,0.0,0.0
2023-09-04 00:00:00-04:00,6.224999904632568,6.875,6.125,6.375,18408,0.0,0.0
2023-09-11 00:00:00-04:00,6.5,6.75,5.525000095367432,6.125,28708,0.0,0.0
2023-09-18 00:00:00-04:00,6.0,6.625,4.525000095367432,4.775000095367432,44344,0.0,0.0
2023-09-25 00:00:00-04:00,4.925000190734863,6.0,4.5,4.800000190734863,43984,0.0,0.0
2023-10-02 00:00:00-04:00,4.775000095367432,11.25,4.5,6.949999809265137,11224980,0.0,0.0
2023-10-09 00:00:00-04:00,6.5,8.324999809265137,6.050000190734863,8.074999809265137,405376,0.0,0.0
2023-10-16 00:00:00-04:00,8.199999809265137,8.425000190734863,6.25,6.5,111736,0.0,0.0
2023-10-23 00:00:00-04:00,6.300000190734863,7.824999809265137,3.5899999141693115,4.320000171661377,326800,0.0,0.04
2023-10-30 00:00:00-04:00,4.079999923706055,4.170000076293945,3.069000005722046,3.4200000762939453,349800,0.0,0.0
2023-11-06 00:00:00-05:00,3.440000057220459,3.8499999046325684,2.740000009536743,2.740000009536743,169600,0.0,0.0
2023-11-13 00:00:00-05:00,2.799999952316284,4.300000190734863,2.7300000190734863,4.039999961853027,242200,0.0,0.0
2023-11-20 00:00:00-05:00,3.9700000286102295,4.989999771118164,3.9619998931884766,4.489999771118164,103500,0.0,0.0
2023-11-27 00:00:00-05:00,4.440000057220459,48.790000915527344,4.070000171661377,19.899999618530273,54229600,0.0,0.0
2023-12-04 00:00:00-05:00,17.010000228881836,18.850000381469727,15.020000457763672,15.3100004196167,4131900,0.0,0.0
2023-12-11 00:00:00-05:00,15.390000343322754,15.899999618530273,9.050000190734863,9.210000038146973,1318900,0.0,0.0
2023-12-18 00:00:00-05:00,9.050000190734863,14.199999809265137,9.050000190734863,11.329999923706055,2246900,0.0,0.0
2023-12-25 00:00:00-05:00,11.0,12.831000328063965,11.0,12.4399995803833,363800,0.0,0.0
2024-01-01 00:00:00-05:00,12.65999984741211,12.75,9.010000228881836,9.329999923706055,414500,0.0,0.0
2024-01-08 00:00:00-05:00,9.789999961853027,9.968000411987305,7.619999885559082,7.945000171661377,422100,0.0,0.0
2024-01-15 00:00:00-05:00,7.650000095367432,7.789999961853027,6.5,6.5,266100,0.0,0.0
2024-01-22 00:00:00-05:00,6.519999980926514,7.198999881744385,5.090000152587891,5.400000095367432,545800,0.0,0.0
2024-01-29 00:00:00-05:00,5.489999771118164,9.138999938964844,5.340000152587891,6.130000114440918,1855000,0.0,0.0
2024-02-05 00:00:00-05:00,5.989999771118164,6.449999809265137,4.900000095367432,5.289999961853027,1096600,0.0,0.0
2024-02-12 00:00:00-05:00,5.300000190734863,5.679999828338623,4.960000038146973,5.25,517000,0.0,0.0
2024-02-19 00:00:00-05:00,5.300000190734863,5.497000217437744,4.75,4.900000095367432,238400,0.0,0.0
2024-02-26 00:00:00-05:00,5.0,6.230000019073486,4.78000020980835,5.489999771118164,620200,0.0,0.0
2024-03-04 00:00:00-05:00,5.389999866485596,5.710000038146973,4.78000020980835,4.829999923706055,337500,0.0,0.0
2024-03-11 00:00:00-04:00,4.920000076293945,4.980000019073486,4.210000038146973,4.5,276800,0.0,0.0
2024-03-18 00:00:00-04:00,4.510000228881836,5.239999771118164,4.320000171661377,4.940000057220459,323200,0.0,0.0
2024-03-25 00:00:00-04:00,4.909999847412109,4.909999847412109,4.110000133514404,4.829999923706055,311300,0.0,0.0
2024-04-01 00:00:00-04:00,3.75,3.990000009536743,2.940000057220459,3.009999990463257,1377700,0.0,0.0
2024-04-08 00:00:00-04:00,3.009999990463257,3.440000057220459,2.4000000953674316,2.640000104904175,5705900,0.0,0.0
2024-04-15 00:00:00-04:00,2.5799999237060547,2.9000000953674316,2.450000047683716,2.7200000286102295,445600,0.0,0.0
2024-04-22 00:00:00-04:00,2.6500000953674316,2.7300000190734863,2.369999885559082,2.5899999141693115,261300,0.0,0.0
2024-04-29 00:00:00-04:00,2.5299999713897705,2.700000047683716,2.369999885559082,2.630000114440918,151500,0.0,0.0
2024-05-06 00:00:00-04:00,2.569999933242798,2.63700008392334,2.0399999618530273,2.125,442100,0.0,0.0
